time, mouse_x, mouse_y, right_eye_x, right_eye_y, left_eye_x, left_eye_y
1671142772.797973, 758, 691, 359, 73, 286, 77
1671142772.8529358, 775, 716, 360, 73, 285, 77
1671142772.9059305, 782, 736, 360, 73, 285, 77
1671142772.9579303, 788, 744, 359, 73, 286, 78
1671142773.0059354, 810, 747, 359, 73, 285, 78
1671142773.053933, 853, 749, 359, 73, 285, 78
1671142773.104934, 918, 741, 359, 73, 285, 78
1671142773.1529338, 969, 713, 359, 73, 285, 77
1671142773.2039304, 991, 702, 359, 73, 285, 77
1671142773.2549326, 1002, 683, 359, 73, 285, 77
1671142773.3069358, 1015, 652, 359, 73, 285, 77
1671142773.360282, 1024, 616, 359, 74, 286, 78
1671142773.4242766, 1036, 570, 359, 73, 286, 78
1671142773.4748116, 1041, 560, 358, 73, 285, 78
1671142773.5248063, 1041, 564, 359, 73, 284, 77
1671142773.5738084, 1043, 616, 359, 73, 284, 77
1671142773.6308138, 1045, 659, 358, 73, 285, 78
1671142773.6898077, 1064, 684, 358, 73, 284, 78
1671142773.7438076, 1095, 722, 358, 73, 284, 77
1671142773.7958097, 1111, 772, 357, 74, 284, 79
1671142773.8468084, 1110, 810, 357, 74, 284, 79
1671142773.9158084, 1114, 841, 358, 74, 284, 78
1671142773.9848084, 1120, 854, 358, 74, 285, 78
1671142774.0598085, 1133, 863, 359, 74, 285, 78
1671142774.1418107, 1221, 903, 359, 74, 286, 78
1671142774.2148092, 1309, 935, 358, 73, 284, 78
1671142774.291808, 1331, 943, 357, 74, 284, 78
1671142774.3588092, 1331, 943, 358, 74, 283, 78
1671142774.4358132, 1357, 904, 358, 73, 284, 78
1671142774.513812, 1395, 812, 358, 74, 284, 79
1671142774.5958111, 1405, 796, 358, 74, 283, 78
1671142774.6718106, 1418, 772, 357, 74, 284, 78
1671142774.746811, 1454, 661, 357, 74, 283, 78
1671142774.8238106, 1470, 626, 357, 74, 284, 78
1671142774.889814, 1476, 592, 356, 74, 282, 78
1671142774.954807, 1486, 529, 357, 74, 283, 78
1671142775.0148098, 1490, 516, 356, 73, 283, 78
1671142775.0778081, 1490, 544, 356, 74, 283, 78
1671142775.150812, 1467, 631, 357, 74, 283, 78
1671142775.2178094, 1448, 661, 357, 74, 283, 78
1671142775.2879899, 1391, 694, 358, 74, 285, 78
1671142775.3658075, 1340, 702, 359, 74, 284, 78
1671142775.4498103, 1294, 662, 358, 74, 285, 78
1671142775.526809, 1230, 602, 359, 74, 285, 79
1671142775.595808, 1230, 602, 358, 73, 285, 78
1671142775.6648066, 1227, 603, 358, 74, 285, 78
1671142775.7388086, 1227, 603, 358, 74, 284, 78
1671142775.8158112, 1215, 536, 358, 73, 284, 78
1671142775.8858092, 1178, 390, 358, 73, 284, 77
1671142775.9628086, 1162, 365, 358, 73, 285, 77
1671142776.03381, 1162, 365, 359, 73, 285, 77
1671142776.1068091, 1152, 346, 359, 73, 284, 77
1671142776.1818128, 1104, 277, 359, 73, 284, 77
1671142776.2478132, 1087, 257, 358, 74, 284, 77
1671142776.3148096, 1091, 258, 358, 73, 284, 77
1671142776.3918135, 1109, 307, 358, 73, 284, 77
1671142776.46281, 1115, 358, 358, 73, 284, 77
1671142776.5288105, 1082, 399, 359, 74, 285, 78
1671142776.5879269, 1022, 474, 359, 73, 285, 78
1671142776.6438124, 994, 517, 359, 73, 285, 78
1671142776.6958094, 991, 520, 360, 74, 286, 77
1671142776.7488098, 987, 526, 361, 73, 287, 77
1671142776.8078103, 980, 533, 360, 74, 286, 77
1671142776.8728094, 968, 530, 360, 73, 286, 78
1671142776.9379332, 914, 492, 360, 73, 286, 78
1671142777.0018117, 828, 399, 360, 73, 286, 77
1671142777.0698135, 785, 352, 360, 73, 285, 78
1671142777.1428142, 780, 348, 360, 73, 285, 77
1671142777.2068143, 777, 348, 360, 73, 286, 77
1671142777.2688107, 692, 369, 360, 73, 286, 78
1671142777.32581, 584, 408, 361, 74, 286, 77
1671142777.3798108, 532, 432, 361, 73, 287, 78
1671142777.43481, 524, 440, 361, 73, 287, 78
1671142777.4898157, 523, 447, 361, 73, 287, 77
1671142777.5438118, 521, 456, 361, 73, 287, 78
1671142777.6088104, 521, 460, 360, 74, 286, 78
1671142777.6728077, 523, 470, 360, 73, 287, 77
1671142777.7448092, 523, 522, 360, 73, 287, 78
1671142777.817808, 493, 607, 360, 74, 286, 78
1671142777.89681, 451, 672, 360, 74, 287, 79
1671142777.9758096, 440, 698, 360, 74, 287, 78
1671142778.0418103, 440, 702, 360, 74, 286, 79
1671142778.1068075, 458, 639, 361, 74, 286, 79
1671142778.1698084, 508, 533, 360, 73, 287, 77
1671142778.244809, 541, 498, 361, 73, 287, 77
1671142778.3318098, 542, 492, 361, 74, 287, 76
1671142778.4288604, 573, 358, 361, 74, 287, 77
1671142778.489863, 596, 279, 361, 73, 286, 77
1671142778.5558634, 602, 261, 361, 73, 286, 78
1671142778.616864, 602, 261, 361, 73, 287, 77
1671142778.6808646, 605, 261, 360, 73, 286, 77
1671142778.7668612, 712, 356, 360, 74, 285, 77
1671142778.899861, 819, 438, 359, 74, 285, 77
1671142779.003865, 817, 429, 360, 74, 285, 77
1671142779.126861, 892, 418, 360, 74, 285, 77
1671142779.2435148, 912, 410, 360, 74, 285, 77
1671142779.375513, 821, 438, 361, 74, 286, 78
1671142779.4805107, 727, 500, 360, 74, 286, 79
1671142779.558513, 707, 555, 360, 74, 286, 79
1671142779.624514, 670, 570, 360, 74, 285, 79
1671142779.6815484, 670, 570, 360, 74, 286, 78
1671142779.7395115, 673, 572, 360, 75, 286, 78
1671142779.802513, 696, 622, 360, 75, 286, 80
1671142779.89851, 736, 757, 360, 75, 286, 79
1671142779.95951, 738, 801, 360, 75, 285, 79
1671142780.1129606, 748, 813, 360, 75, 287, 79
1671142780.1699638, 779, 827, 360, 75, 285, 80
1671142780.234966, 835, 866, 360, 75, 285, 79
1671142780.315963, 967, 921, 360, 75, 285, 79
1671142780.3799632, 999, 927, 360, 75, 286, 79
1671142780.4429703, 999, 928, 360, 75, 286, 79
1671142780.4989643, 999, 928, 360, 75, 286, 79
1671142780.665008, 1211, 968, 360, 75, 286, 80
1671142780.7340086, 1174, 963, 360, 75, 285, 79
1671142780.8060071, 1099, 958, 360, 75, 285, 80
1671142780.8800085, 1087, 957, 360, 75, 285, 80
1671142780.9560041, 1065, 957, 360, 75, 286, 80
1671142781.1000054, 973, 947, 360, 75, 285, 79
1671142781.1570058, 912, 945, 360, 75, 286, 80
1671142781.2130873, 823, 953, 360, 75, 286, 79
1671142781.2710884, 752, 961, 360, 75, 286, 80
1671142781.3540883, 688, 961, 360, 75, 286, 80
1671142781.4270859, 686, 960, 361, 75, 286, 80
1671142781.5010872, 669, 935, 361, 75, 287, 79
1671142781.5760918, 589, 825, 361, 75, 287, 80
1671142781.697321, 539, 784, 360, 76, 287, 79
1671142781.7493584, 539, 784, 361, 75, 287, 80
1671142781.8033278, 539, 784, 360, 76, 286, 80
1671142781.873325, 539, 784, 361, 75, 287, 79
1671142781.9483225, 531, 753, 361, 75, 286, 79
1671142782.0273201, 514, 693, 360, 75, 286, 79
1671142782.102323, 512, 689, 360, 75, 286, 80
1671142782.1853213, 520, 727, 360, 75, 286, 80
1671142782.2753198, 531, 766, 361, 75, 287, 80
1671142782.3823214, 620, 734, 361, 75, 286, 80
1671142782.4943242, 672, 702, 361, 75, 286, 79
1671142782.582319, 684, 675, 361, 75, 287, 80
1671142782.6603196, 701, 675, 362, 75, 287, 79
1671142782.7403219, 800, 648, 361, 75, 286, 79
1671142782.8213205, 852, 558, 360, 75, 286, 79
1671142782.9163258, 837, 463, 360, 75, 286, 79
1671142782.9933212, 837, 462, 361, 75, 286, 79
1671142783.0603235, 837, 462, 361, 74, 286, 78
1671142783.1403196, 895, 446, 360, 74, 285, 79
1671142783.2203245, 1009, 399, 360, 75, 285, 79
1671142783.2973218, 1069, 359, 360, 74, 285, 78
1671142783.373323, 1089, 357, 360, 74, 285, 78
1671142783.443321, 1143, 374, 360, 75, 285, 78
1671142783.51432, 1274, 426, 360, 74, 285, 78
1671142783.579321, 1385, 467, 360, 75, 285, 79
1671142783.6563222, 1402, 470, 359, 74, 284, 78
1671142783.7333276, 1402, 470, 359, 75, 284, 78
1671142783.8233218, 1398, 470, 359, 74, 284, 78
1671142783.8993204, 1333, 459, 359, 74, 284, 78
1671142783.9673195, 1288, 448, 359, 74, 284, 78
1671142784.0453274, 1301, 486, 358, 74, 284, 79
1671142784.1313202, 1333, 657, 358, 74, 284, 79
1671142784.2173204, 1328, 704, 358, 74, 284, 79
1671142784.303327, 1212, 681, 359, 75, 284, 79
1671142784.3913221, 1095, 664, 359, 75, 285, 79
1671142784.476321, 1093, 663, 359, 75, 285, 79
1671142784.5744326, 1062, 658, 359, 75, 285, 79
1671142784.719431, 927, 659, 359, 75, 284, 79
1671142784.9014313, 848, 721, 360, 75, 286, 80
1671142785.0644317, 802, 849, 361, 75, 286, 80
1671142785.1644354, 776, 917, 360, 76, 286, 80
1671142785.2474327, 771, 933, 361, 76, 287, 81
1671142785.3664315, 708, 944, 360, 76, 286, 80
1671142785.44243, 591, 952, 361, 76, 287, 81
1671142785.5514302, 548, 976, 361, 76, 287, 81
1671142785.6404297, 531, 933, 362, 75, 288, 80
1671142785.7194383, 430, 772, 362, 76, 287, 80
1671142785.7914321, 423, 756, 361, 76, 286, 80
1671142785.8484282, 422, 756, 361, 76, 287, 80
1671142785.9174302, 415, 757, 362, 76, 287, 79
1671142785.9744666, 415, 757, 362, 76, 287, 80
1671142786.0364337, 449, 714, 362, 75, 287, 79
1671142786.10143, 556, 575, 361, 76, 286, 80
1671142786.162428, 603, 514, 361, 75, 286, 80
1671142786.2424283, 604, 514, 361, 75, 287, 79
1671142786.335434, 603, 523, 361, 75, 286, 80
1671142786.41243, 603, 490, 361, 76, 286, 80
1671142786.4884315, 596, 453, 361, 75, 287, 80
1671142786.5726488, 603, 474, 361, 75, 286, 80
1671142786.6564336, 631, 569, 360, 76, 285, 80
1671142786.7404375, 752, 575, 360, 75, 286, 80
1671142786.8274288, 810, 613, 360, 75, 286, 79
1671142786.93343, 797, 689, 361, 75, 286, 79
1671142787.0174289, 790, 704, 361, 75, 286, 79
1671142787.12843, 928, 647, 360, 75, 286, 79
1671142787.2444284, 986, 611, 360, 75, 286, 79
1671142787.3394322, 967, 614, 360, 75, 285, 79
1671142787.4624333, 972, 581, 360, 75, 284, 79
1671142787.552429, 967, 443, 360, 75, 284, 79
1671142787.6844296, 986, 407, 359, 75, 285, 78
1671142787.8304305, 1019, 370, 360, 75, 285, 78
1671142787.9044282, 1021, 368, 359, 75, 284, 78
1671142787.9954333, 1027, 359, 359, 74, 285, 78
1671142788.1404285, 1219, 267, 359, 74, 285, 78
1671142788.2674344, 1223, 258, 358, 74, 284, 78
1671142788.3934293, 1359, 364, 358, 75, 284, 79
1671142788.5044289, 1457, 481, 359, 74, 284, 78
1671142788.5754294, 1465, 493, 358, 74, 284, 78
1671142788.6504316, 1472, 529, 358, 74, 284, 77
1671142788.7424302, 1480, 611, 356, 72, 283, 77
1671142788.8134313, 1440, 706, 357, 72, 283, 76
1671142788.8954322, 1344, 797, 356, 71, 283, 76
1671142789.0184348, 1221, 893, 356, 71, 283, 75
1671142789.1094298, 1048, 920, 356, 71, 283, 75
1671142789.1894588, 929, 819, 356, 71, 283, 76
1671142789.2744308, 884, 552, 357, 71, 284, 75
1671142789.3954287, 858, 483, 357, 70, 283, 75
1671142789.554433, 1164, 476, 358, 70, 284, 75
1671142789.6284316, 1273, 536, 357, 69, 284, 73
1671142789.6964283, 1230, 533, 357, 69, 284, 73
1671142789.7614305, 1135, 464, 358, 68, 284, 72
1671142789.8304307, 1046, 324, 357, 68, 285, 72
1671142789.92143, 932, 394, 358, 67, 284, 72
